ProjectName,Language,ShareReviewComments,Additions,Deletions,ChangedFiles,Assignees,ReviewComments,GeneralComments,TotalPrs,Commits,Period
OPM/opm-parser,C++,0.12745098039215685,2445,1220,623,0,13,89,27,66,1
OPM/opm-parser,C++,0.0,473,27,26,0,0,25,3,9,2
OPM/opm-parser,C++,0.0,3419,1905,241,0,0,27,17,42,3
OPM/opm-parser,C++,0,394,353,89,0,0,0,3,11,4
OPM/opm-parser,C++,0.2777777777777778,1871,853,59,0,5,13,5,50,5
OPM/opm-parser,C++,0.030303030303030304,1523,546,99,0,1,32,10,38,6
OPM/opm-parser,C++,0.2459016393442623,688,185,51,0,15,46,13,50,7
OPM/opm-parser,C++,0.0,1170,246,65,0,0,4,8,30,8
OPM/opm-parser,C++,0.0,152,2445,41,0,0,21,7,20,9
OPM/opm-parser,C++,0.0,1118,480,21,0,0,39,5,31,10
OPM/opm-parser,C++,0.0,238,394,20,0,0,7,9,27,11
OPM/opm-parser,C++,0.0,2722,649,80,0,0,21,8,25,12
OPM/opm-parser,C++,0.0,587,43,16,0,0,5,3,6,13
OPM/opm-parser,C++,0.32,502,1070,67,0,16,34,20,74,14
OPM/opm-parser,C++,0.631578947368421,2436,790,96,0,24,14,11,40,15
OPM/opm-parser,C++,0.48148148148148145,2844,173,48,0,13,14,8,27,16
OPM/opm-parser,C++,0.08695652173913043,971,353,21,0,2,21,8,15,17
OPM/opm-parser,C++,0.2413793103448276,2520,511,83,0,7,22,7,21,18
OPM/opm-parser,C++,0.31958762886597936,2141,492,114,0,31,66,24,51,19
OPM/opm-parser,C++,0.2222222222222222,629,202,43,0,4,14,11,30,20
OPM/opm-parser,C++,0.05,5321,3583,202,0,1,19,12,67,21
OPM/opm-parser,C++,0.26666666666666666,1702,632,102,0,4,11,12,47,22
OPM/opm-parser,C++,0.391304347826087,953,126,81,0,18,28,13,30,23
OPM/opm-parser,C++,0.6493506493506493,1914,155,44,0,50,27,14,45,24
OPM/opm-parser,C++,0.25,2092,161,69,0,17,51,10,66,25
OPM/opm-parser,C++,0.0,37,152,10,0,0,3,5,6,26
OPM/opm-parser,C++,0.5454545454545454,711,1,15,0,6,5,3,10,27
OPM/opm-parser,C++,0.961038961038961,4850,4623,170,0,74,3,5,35,28
OPM/opm-parser,C++,0,26,0,2,0,0,0,1,1,29
OPM/opm-parser,C++,0.05555555555555555,5903,2413,575,0,1,17,11,34,30
OPM/opm-parser,C++,0.0,5457,6484,315,0,0,34,19,49,31
OPM/opm-parser,C++,0.1956521739130435,2557,4424,81,0,9,37,12,26,32
OPM/opm-parser,C++,0.3114754098360656,1420,471,72,0,19,42,12,39,33
OPM/opm-parser,C++,0.46987951807228917,4113,6439,275,0,39,44,17,60,34
OPM/opm-parser,C++,0.27102803738317754,6724,5089,235,0,29,78,23,57,35
OPM/opm-parser,C++,0.5454545454545454,2675,1875,166,0,84,70,26,116,36
OPM/opm-parser,C++,0.4025974025974026,1020,528,91,0,31,46,16,44,37
OPM/opm-parser,C++,0.6486486486486487,1420,914,60,0,72,39,16,45,38
OPM/opm-parser,C++,0.4925373134328358,1255,1802,40,1,33,34,11,30,39
OPM/opm-parser,C++,0.34210526315789475,1673,967,115,0,26,50,21,40,40
OPM/opm-parser,C++,0.3181818181818182,1668,654,102,0,35,75,15,44,41
OPM/opm-parser,C++,0.4824561403508772,3543,2125,100,0,55,59,12,52,42
OPM/opm-parser,C++,0.0625,577,834,61,0,1,15,4,20,43
OPM/opm-parser,C++,0.12121212121212122,272,280,20,0,4,29,9,12,44
OPM/opm-parser,C++,0.6,1217,505,80,0,45,30,15,31,45
ComputationalRadiationPhysics/picongpu,C++,0.40671641791044777,1768,1137,151,27,109,159,28,47,1
ComputationalRadiationPhysics/picongpu,C++,0.4854368932038835,761,559,116,20,50,53,20,28,2
ComputationalRadiationPhysics/picongpu,C++,0.5826771653543307,829,205,81,15,74,53,15,23,3
ComputationalRadiationPhysics/picongpu,C++,0.5632183908045977,3325,1040,145,31,147,114,31,51,4
ComputationalRadiationPhysics/picongpu,C++,0.5230769230769231,1431,168,38,13,68,62,13,22,5
ComputationalRadiationPhysics/picongpu,C++,0.5497382198952879,2675,338,120,18,105,86,19,35,6
ComputationalRadiationPhysics/picongpu,C++,0.6111111111111112,237,91,27,6,44,28,7,9,7
ComputationalRadiationPhysics/picongpu,C++,0.17391304347826086,2090,1634,1064,9,8,38,10,13,8
ComputationalRadiationPhysics/picongpu,C++,0.6274509803921569,1936,171,89,18,192,114,18,39,9
ComputationalRadiationPhysics/picongpu,C++,0.7288135593220338,954,612,463,8,43,16,9,17,10
ComputationalRadiationPhysics/picongpu,C++,0.7384615384615385,1199,101,30,15,96,34,15,16,11
ComputationalRadiationPhysics/picongpu,C++,0.2727272727272727,153,88,5,4,3,8,4,4,12
ComputationalRadiationPhysics/picongpu,C++,0.5555555555555556,1322,325,40,14,65,52,14,34,13
ComputationalRadiationPhysics/picongpu,C++,0.6666666666666666,430,89,21,5,42,21,4,20,14
ComputationalRadiationPhysics/picongpu,C++,0.7121212121212122,2144,223,59,9,47,19,10,31,15
ComputationalRadiationPhysics/picongpu,C++,0.5,972,289,38,18,53,53,18,35,16
ComputationalRadiationPhysics/picongpu,C++,0.38596491228070173,1264,120,57,18,44,70,17,49,17
ComputationalRadiationPhysics/picongpu,C++,0.5333333333333333,354,49,11,6,16,14,6,7,18
ComputationalRadiationPhysics/picongpu,C++,0.861271676300578,1803,422,25,4,149,24,4,9,19
ComputationalRadiationPhysics/picongpu,C++,0.4583333333333333,859,187,49,12,11,13,12,13,20
ComputationalRadiationPhysics/picongpu,C++,0.4375,884,414,50,19,14,18,19,24,21
ComputationalRadiationPhysics/picongpu,C++,0.5492957746478874,748,139,24,6,39,32,6,10,22
ComputationalRadiationPhysics/picongpu,C++,0.5217391304347826,213,39,21,7,24,22,7,10,23
ComputationalRadiationPhysics/picongpu,C++,0.47058823529411764,547,279,16,7,32,36,6,10,24
ComputationalRadiationPhysics/picongpu,C++,0.7532467532467533,353,77,13,6,58,19,6,7,25
ComputationalRadiationPhysics/picongpu,C++,0.48717948717948717,994,76,19,7,19,20,6,9,26
ComputationalRadiationPhysics/picongpu,C++,0.4444444444444444,32,31,8,5,4,5,5,6,27
ComputationalRadiationPhysics/picongpu,C++,0.8028169014084507,55479,20112,1389,30,114,28,27,296,28
ComputationalRadiationPhysics/picongpu,C++,0.6153846153846154,763,574,43,15,56,35,15,18,29
ComputationalRadiationPhysics/picongpu,C++,0.8047337278106509,6472,4935,444,26,136,33,27,122,30
ComputationalRadiationPhysics/picongpu,C++,0.5878378378378378,11865,11368,672,28,87,61,28,285,31
ComputationalRadiationPhysics/picongpu,C++,0.7419354838709677,12921,26158,1822,24,69,24,21,290,32
ComputationalRadiationPhysics/picongpu,C++,0.7531645569620253,16893,18795,1289,20,119,39,20,311,33
ComputationalRadiationPhysics/picongpu,C++,0.7065217391304348,2294,1558,247,15,65,27,16,29,34
ComputationalRadiationPhysics/picongpu,C++,0.798219584569733,25931,27818,2623,73,269,68,76,449,35
ComputationalRadiationPhysics/picongpu,C++,0.5092592592592593,2408,618,159,28,55,53,28,61,36
ComputationalRadiationPhysics/picongpu,C++,0.6666666666666666,1807,1290,118,18,80,40,19,33,37
ComputationalRadiationPhysics/picongpu,C++,0.8125,96,14,16,5,13,3,5,5,38
ComputationalRadiationPhysics/picongpu,C++,0.7175141242937854,2774,351,170,24,127,50,22,42,39
ComputationalRadiationPhysics/picongpu,C++,0.7784431137724551,3601,639,124,25,130,37,24,39,40
ComputationalRadiationPhysics/picongpu,C++,0.6775956284153005,2802,1191,142,33,124,59,32,59,41
ComputationalRadiationPhysics/picongpu,C++,0.8081395348837209,4103,1181,138,26,139,33,25,68,42
ComputationalRadiationPhysics/picongpu,C++,0.8767123287671232,65053,55996,2727,13,64,9,13,520,43
ComputationalRadiationPhysics/picongpu,C++,0.7777777777777778,2348,112,40,14,63,18,14,103,44
ComputationalRadiationPhysics/picongpu,C++,0.8899082568807339,117492,117287,2154,11,97,12,11,63,45
cylc/cylc,Python,0.06451612903225806,385,99,27,9,2,29,9,18,1
cylc/cylc,Python,0.14689265536723164,8552,5646,236,14,26,151,14,75,2
cylc/cylc,Python,0.5894736842105263,1931,642,77,11,112,78,11,43,3
cylc/cylc,Python,0.18518518518518517,470,135,19,6,5,22,6,13,4
cylc/cylc,Python,0.1111111111111111,719,332,69,13,7,56,13,29,5
cylc/cylc,Python,0.1206896551724138,308,2222,56,7,7,51,7,31,6
cylc/cylc,Python,0.22807017543859648,1833,754,63,6,13,44,6,22,7
cylc/cylc,Python,0.4,3059,2339,123,8,24,36,8,18,8
cylc/cylc,Python,0.18461538461538463,1062,633,72,14,12,53,14,28,9
cylc/cylc,Python,0.14285714285714285,272,61,18,9,8,48,9,17,10
cylc/cylc,Python,0.08695652173913043,776,187,54,11,4,42,11,27,11
cylc/cylc,Python,0.36486486486486486,3649,2917,166,8,27,47,8,23,12
cylc/cylc,Python,0.13513513513513514,214,71,15,7,5,32,7,13,13
cylc/cylc,Python,0.1875,487,61,66,10,3,13,10,13,14
cylc/cylc,Python,0.39285714285714285,902,578,76,5,22,34,5,22,15
cylc/cylc,Python,0.1836734693877551,2190,1450,237,8,18,80,8,30,16
cylc/cylc,Python,0.0,207,186,11,3,0,11,3,3,17
cylc/cylc,Python,0.22,1043,845,93,5,22,78,5,28,18
cylc/cylc,Python,0.20833333333333334,455,263,16,5,5,19,5,12,19
cylc/cylc,Python,0.3333333333333333,9043,412,85,9,20,40,10,22,20
cylc/cylc,Python,0.24,610,370,44,6,12,38,6,18,21
cylc/cylc,Python,0.3076923076923077,1575,1347,83,8,16,36,8,14,22
cylc/cylc,Python,0.30864197530864196,1810,3430,817,17,25,56,17,36,23
