ProjectName,Language,ShareReviewComments,Additions,Deletions,ChangedFiles,Assignees,ReviewComments,GeneralComments,TotalPrs,Commits,Period
ReactiveX/RxJava,Java,0.3611111111111111,31,20,2,0,13,23,2,8,1
ReactiveX/RxJava,Java,0.0,3868,4426,89,0,0,27,4,34,2
ReactiveX/RxJava,Java,0.0,2,2,1,0,0,2,1,1,3
ReactiveX/RxJava,Java,0.4722222222222222,1196,907,92,0,17,19,7,16,4
ReactiveX/RxJava,Java,0.15555555555555556,3348,2251,59,0,7,38,3,19,5
ReactiveX/RxJava,Java,0.0,4633,6240,208,0,0,82,11,82,6
ReactiveX/RxJava,Java,0.13559322033898305,16200,4427,285,0,24,153,43,189,7
ReactiveX/RxJava,Java,0.19318181818181818,5741,1222,75,0,17,71,19,111,8
ReactiveX/RxJava,Java,0.07377049180327869,3363,387,52,0,9,113,14,55,9
ReactiveX/RxJava,Java,0.03278688524590164,7474,1991,108,0,2,59,15,65,10
ReactiveX/RxJava,Java,0.0,33702,26874,418,0,0,46,21,39,11
ReactiveX/RxJava,Java,0.17883211678832117,23377,2424,248,0,49,225,47,120,12
ReactiveX/RxJava,Java,0.14285714285714285,18986,8632,316,1,34,204,52,197,13
ReactiveX/RxJava,Java,0.20603015075376885,31525,8687,265,3,41,158,49,125,14
ReactiveX/RxJava,Java,0.08904109589041095,28671,20743,915,0,13,133,35,69,15
ReactiveX/RxJava,Java,0.11475409836065574,13615,11949,586,0,14,108,21,124,16
ReactiveX/RxJava,Java,0.22674418604651161,15297,8186,470,0,78,266,65,155,17
ReactiveX/RxJava,Java,0.22727272727272727,13075,2423,505,0,45,153,44,136,18
ReactiveX/RxJava,Java,0.15436241610738255,7720,1702,122,0,23,126,22,49,19
ReactiveX/RxJava,Java,0.10101010101010101,5788,2732,194,0,10,89,25,56,20
ReactiveX/RxJava,Java,0.03571428571428571,2720,2132,143,0,3,81,18,29,21
ReactiveX/RxJava,Java,0.22119815668202766,22312,30510,805,0,48,169,80,200,22
ReactiveX/RxJava,Java,0.3,18595,12322,312,0,99,231,35,128,23
ReactiveX/RxJava,Java,0.2876712328767123,10351,4986,427,0,105,260,56,113,24
ReactiveX/RxJava,Java,0.20948616600790515,16898,1886,318,0,53,200,31,109,25
ReactiveX/RxJava,Java,0.1125,23014,4624,319,0,18,142,22,78,26
ReactiveX/RxJava,Java,0.1839080459770115,15723,1652,203,0,32,142,28,69,27
ReactiveX/RxJava,Java,0.26881720430107525,5608,3803,196,0,50,136,51,79,28
ReactiveX/RxJava,Java,0.14150943396226415,4237,1590,163,0,15,91,31,37,29
ReactiveX/RxJava,Java,0.09821428571428571,5527,6237,243,0,11,101,36,48,30
ReactiveX/RxJava,Java,0.022727272727272728,1372,200,47,0,1,43,17,27,31
ReactiveX/RxJava,Java,0.6388888888888888,493,353,19,0,23,13,4,14,32
ReactiveX/RxJava,Java,0.11764705882352941,5301,4683,368,0,6,45,30,46,33
ReactiveX/RxJava,Java,0.19736842105263158,4259,1952,134,0,15,61,35,56,34
ReactiveX/RxJava,Java,0.19047619047619047,2278,892,52,0,8,34,17,22,35
ReactiveX/RxJava,Java,0.3473684210526316,1105,360,34,0,33,62,12,27,36
ReactiveX/RxJava,Java,0.4187192118226601,7652,1953,124,0,85,118,40,80,37
ReactiveX/RxJava,Java,0.1694915254237288,838,445,24,0,10,49,12,17,38
ReactiveX/RxJava,Java,0.23076923076923078,543,223,26,0,6,20,5,11,39
ReactiveX/RxJava,Java,0.20754716981132076,2286,268,37,0,11,42,17,34,40
ReactiveX/RxJava,Java,0.2727272727272727,7215,1094,171,0,60,160,50,85,41
ReactiveX/RxJava,Java,0.26153846153846155,2126,179,36,0,17,48,15,16,42
ReactiveX/RxJava,Java,0.35106382978723405,3012,967,60,0,33,61,15,21,43
ReactiveX/RxJava,Java,0.19444444444444445,841,779,151,0,7,29,10,11,44
ReactiveX/RxJava,Java,0.14705882352941177,688,207,61,0,5,29,15,16,45
OPM/opm-parser,C++,0.12745098039215685,2445,1220,623,0,13,89,27,66,1
OPM/opm-parser,C++,0.0,473,27,26,0,0,25,3,9,2
OPM/opm-parser,C++,0.0,3419,1905,241,0,0,27,17,42,3
OPM/opm-parser,C++,0,394,353,89,0,0,0,3,11,4
OPM/opm-parser,C++,0.2777777777777778,1871,853,59,0,5,13,5,50,5
OPM/opm-parser,C++,0.030303030303030304,1523,546,99,0,1,32,10,38,6
OPM/opm-parser,C++,0.2459016393442623,688,185,51,0,15,46,13,50,7
OPM/opm-parser,C++,0.0,1170,246,65,0,0,4,8,30,8
OPM/opm-parser,C++,0.0,152,2445,41,0,0,21,7,20,9
OPM/opm-parser,C++,0.0,1118,480,21,0,0,39,5,31,10
OPM/opm-parser,C++,0.0,238,394,20,0,0,7,9,27,11
OPM/opm-parser,C++,0.0,2722,649,80,0,0,21,8,25,12
OPM/opm-parser,C++,0.0,587,43,16,0,0,5,3,6,13
OPM/opm-parser,C++,0.32,502,1070,67,0,16,34,20,74,14
OPM/opm-parser,C++,0.631578947368421,2436,790,96,0,24,14,11,40,15
OPM/opm-parser,C++,0.48148148148148145,2844,173,48,0,13,14,8,27,16
OPM/opm-parser,C++,0.08695652173913043,971,353,21,0,2,21,8,15,17
OPM/opm-parser,C++,0.2413793103448276,2520,511,83,0,7,22,7,21,18
OPM/opm-parser,C++,0.31958762886597936,2141,492,114,0,31,66,24,51,19
OPM/opm-parser,C++,0.2222222222222222,629,202,43,0,4,14,11,30,20
OPM/opm-parser,C++,0.05,5321,3583,202,0,1,19,12,67,21
OPM/opm-parser,C++,0.26666666666666666,1702,632,102,0,4,11,12,47,22
OPM/opm-parser,C++,0.391304347826087,953,126,81,0,18,28,13,30,23
OPM/opm-parser,C++,0.6493506493506493,1914,155,44,0,50,27,14,45,24
OPM/opm-parser,C++,0.25,2092,161,69,0,17,51,10,66,25
OPM/opm-parser,C++,0.0,37,152,10,0,0,3,5,6,26
OPM/opm-parser,C++,0.5454545454545454,711,1,15,0,6,5,3,10,27
OPM/opm-parser,C++,0.961038961038961,4850,4623,170,0,74,3,5,35,28
OPM/opm-parser,C++,0,26,0,2,0,0,0,1,1,29
OPM/opm-parser,C++,0.05555555555555555,5903,2413,575,0,1,17,11,34,30
OPM/opm-parser,C++,0.0,5457,6484,315,0,0,34,19,49,31
OPM/opm-parser,C++,0.1956521739130435,2557,4424,81,0,9,37,12,26,32
OPM/opm-parser,C++,0.3114754098360656,1420,471,72,0,19,42,12,39,33
OPM/opm-parser,C++,0.46987951807228917,4113,6439,275,0,39,44,17,60,34
OPM/opm-parser,C++,0.27102803738317754,6724,5089,235,0,29,78,23,57,35
OPM/opm-parser,C++,0.5454545454545454,2675,1875,166,0,84,70,26,116,36
OPM/opm-parser,C++,0.4025974025974026,1020,528,91,0,31,46,16,44,37
OPM/opm-parser,C++,0.6486486486486487,1420,914,60,0,72,39,16,45,38
OPM/opm-parser,C++,0.4925373134328358,1255,1802,40,1,33,34,11,30,39
OPM/opm-parser,C++,0.34210526315789475,1673,967,115,0,26,50,21,40,40
OPM/opm-parser,C++,0.3181818181818182,1668,654,102,0,35,75,15,44,41
OPM/opm-parser,C++,0.4824561403508772,3543,2125,100,0,55,59,12,52,42
OPM/opm-parser,C++,0.0625,577,834,61,0,1,15,4,20,43
OPM/opm-parser,C++,0.12121212121212122,272,280,20,0,4,29,9,12,44
OPM/opm-parser,C++,0.6,1217,505,80,0,45,30,15,31,45
PCSX2/pcsx2,C++,0.06711409395973154,23385,871,78,0,10,139,7,46,1
PCSX2/pcsx2,C++,0.05263157894736842,0,0,0,0,1,18,7,9,2
PCSX2/pcsx2,C++,0.0,50,1,2,0,0,5,3,4,3
PCSX2/pcsx2,C++,0.07692307692307693,1027,3232,20,1,1,12,8,15,4
PCSX2/pcsx2,C++,0.029197080291970802,167,76,14,5,4,133,9,34,5
PCSX2/pcsx2,C++,0.0,25711,684,100,3,0,112,8,84,6
