ProjectName,Language,ShareReviewComments,Additions,Deletions,ChangedFiles,Assignees,ReviewComments,GeneralComments,TotalPrs,Commits,Period
astaxie/beego,Go,0.22580645161290322,228,121,17,0,7,24,21,35,1
astaxie/beego,Go,0.6666666666666666,2088,536,50,0,2,1,4,128,2
astaxie/beego,Go,0.42857142857142855,148,33,15,0,12,16,16,20,3
astaxie/beego,Go,0.0,1,0,1,0,0,6,8,9,4
astaxie/beego,Go,0.35294117647058826,164,56,6,0,6,11,7,16,5
astaxie/beego,Go,0.09090909090909091,414,114,33,0,1,10,10,42,6
astaxie/beego,Go,0.0,21,1,3,0,0,1,2,2,7
astaxie/beego,Go,0.0,16,6,4,0,0,1,3,4,8
astaxie/beego,Go,0.0,854,531,55,0,0,2,4,64,9
astaxie/beego,Go,0.0,51,0,2,0,0,9,7,11,10
astaxie/beego,Go,0.0,72,23,6,0,0,9,9,14,11
astaxie/beego,Go,0.23076923076923078,4,4,4,0,3,10,11,38,12
astaxie/beego,Go,0.0,136,0,4,0,0,1,4,17,13
astaxie/beego,Go,0.2916666666666667,115,104,3,0,7,17,4,7,14
astaxie/beego,Go,0.25,25,0,3,0,2,6,7,76,15
astaxie/beego,Go,0.0,311,7,17,0,0,3,8,8,16
astaxie/beego,Go,0.0,11,10,5,0,0,4,7,10,17
astaxie/beego,Go,0.0,13,5,6,0,0,18,9,11,18
astaxie/beego,Go,0.09090909090909091,182,66,23,0,1,10,9,29,19
astaxie/beego,Go,0.5,29,14,4,0,2,2,4,8,20
astaxie/beego,Go,0.2,314,100,19,0,2,8,7,39,21
astaxie/beego,Go,0.07692307692307693,284,648,89,0,1,12,15,22,22
astaxie/beego,Go,0.7741935483870968,6441,5483,236,0,24,7,10,251,23
astaxie/beego,Go,0,2,1,1,0,0,0,1,1,24
astaxie/beego,Go,0.0,0,1,1,0,0,1,1,1,25
astaxie/beego,Go,0.0,7,8,4,0,0,2,6,6,26
astaxie/beego,Go,0.16666666666666666,33,10,4,0,3,15,8,40,27
astaxie/beego,Go,0.7,21,21,4,0,14,6,7,19,28
astaxie/beego,Go,0.06896551724137931,612,557,19,0,2,27,16,32,29
astaxie/beego,Go,0.25,406,173,47,0,11,33,19,40,30
astaxie/beego,Go,0.4153846153846154,927,437,78,0,27,38,27,65,31
astaxie/beego,Go,0.42391304347826086,906,323,48,0,39,53,21,70,32
astaxie/beego,Go,0.32142857142857145,429,45,14,0,9,19,12,26,33
astaxie/beego,Go,0.5428571428571428,2669,952,111,0,38,32,26,268,34
astaxie/beego,Go,0.28,158,40,23,0,7,18,22,70,35
astaxie/beego,Go,0.7142857142857143,1956,706,91,0,15,6,16,168,36
astaxie/beego,Go,0.20833333333333334,297,76,20,0,5,19,15,34,37
astaxie/beego,Go,0.16666666666666666,105,33,13,0,3,15,10,23,38
astaxie/beego,Go,0.3333333333333333,289,27,10,0,4,8,9,18,39
astaxie/beego,Go,0.8,222,133,15,0,8,2,7,15,40
astaxie/beego,Go,0.3888888888888889,976,42,11,0,7,11,4,16,41
astaxie/beego,Go,0.0,16,5,5,0,0,7,6,7,42
astaxie/beego,Go,0.5,9,5,3,0,15,15,5,30,43
astaxie/beego,Go,0.25,52,34,11,0,2,6,8,14,44
astaxie/beego,Go,0.2222222222222222,225,82,12,0,4,14,6,14,45
OPM/opm-parser,C++,0.12745098039215685,2445,1220,623,0,13,89,27,66,1
