ProjectName,Language,ShareReviewComments,Additions,Deletions,ChangedFiles,Assignees,ReviewComments,GeneralComments,TotalPrs,Commits,Period
boto/boto,Python,0.0,323,24,10,0,0,15,7,14,1
boto/boto,Python,0.19047619047619047,112,24,7,0,4,17,15,25,2
boto/boto,Python,0.0,115,2,3,0,0,1,1,1,3
boto/boto,Python,0.5483870967741935,325,20,12,0,17,14,13,26,4
boto/boto,Python,0.0,237,6,10,0,0,7,8,11,5
boto/boto,Python,0.2222222222222222,592,114,25,2,4,14,16,22,6
boto/boto,Python,0.0,748,96,21,1,0,60,35,60,7
boto/boto,Python,0.0,832,230,17,0,0,62,10,27,8
boto/boto,Python,0.0,40,12,9,0,0,6,11,14,9
boto/boto,Python,0.08,627,428,99,0,4,46,17,38,10
boto/boto,Python,0.0,966,367,50,0,0,18,18,42,11
boto/boto,Python,0.0,1431,142,22,0,0,22,21,30,12
boto/boto,Python,0.023809523809523808,763,126,23,1,1,41,21,38,13
boto/boto,Python,0.0,188,44,10,0,0,14,10,17,14
boto/boto,Python,0.0,1011,140,20,0,0,21,20,43,15
boto/boto,Python,0.0,1323,701,150,1,0,19,18,31,16
boto/boto,Python,0.375,1636,437,81,0,9,15,14,72,17
boto/boto,Python,0.0,150,118,15,0,0,10,16,30,18
boto/boto,Python,0.23529411764705882,497,130,26,0,4,13,12,84,19
boto/boto,Python,0.0,112,35,13,0,0,21,10,12,20
boto/boto,Python,0.1875,1434,344,40,0,3,13,21,40,21
boto/boto,Python,0.2222222222222222,863,416,53,1,6,21,26,56,22
boto/boto,Python,0.0,2240,848,39,1,0,23,22,53,23
boto/boto,Python,0.0,722,67,53,0,0,22,21,53,24
boto/boto,Python,0.0847457627118644,996,68,26,1,5,54,20,58,25
boto/boto,Python,0.034482758620689655,510,18,14,3,1,28,8,15,26
boto/boto,Python,0.0,1663,150,49,2,0,12,15,39,27
boto/boto,Python,0.10256410256410256,854,123,43,2,4,35,20,59,28
boto/boto,Python,0.030303030303030304,1809,114,34,1,1,32,17,45,29
boto/boto,Python,0.16666666666666666,347,127,18,2,2,10,16,30,30
boto/boto,Python,0.0,4893,1249,64,5,0,11,34,54,31
boto/boto,Python,0.0,1573,460,44,4,0,13,31,49,32
boto/boto,Python,0.023809523809523808,688,126,36,7,1,41,30,124,33
boto/boto,Python,0.08,2343,48,29,0,2,23,15,26,34
boto/boto,Python,0.32,2098,512,48,1,8,17,17,46,35
boto/boto,Python,0.0,2854,84,32,0,0,34,14,26,36
boto/boto,Python,0.15384615384615385,435,72,20,0,2,11,10,192,37
boto/boto,Python,0.13333333333333333,5310,94,32,0,2,13,17,47,38
boto/boto,Python,0.07407407407407407,609,49,17,0,2,25,16,28,39
boto/boto,Python,0.4,277,35,17,0,8,12,13,20,40
boto/boto,Python,0.1875,226,28,22,0,3,13,10,14,41
boto/boto,Python,0.0,2941,588,9,1,0,35,12,26,42
boto/boto,Python,0.05555555555555555,702,36,25,2,1,17,15,24,43
boto/boto,Python,0.16326530612244897,1780,131,59,2,8,41,22,142,44
boto/boto,Python,0.09375,803,88,28,2,3,29,15,32,45
Leaflet/Leaflet,JavaScript,0.0,17,10,5,0,0,9,1,2,1
Leaflet/Leaflet,JavaScript,0.0,8,3,2,0,0,2,1,1,2
Leaflet/Leaflet,JavaScript,0.0,62,15,4,0,0,10,3,3,3
Leaflet/Leaflet,JavaScript,0.0,11,2,1,0,0,15,3,7,4
Leaflet/Leaflet,JavaScript,0.0,5467,5433,11,0,0,20,6,8,5
Leaflet/Leaflet,JavaScript,0.0,13888,29,115,0,0,24,13,300,6
Leaflet/Leaflet,JavaScript,0.029850746268656716,7034,6600,23,0,2,65,18,55,7
Leaflet/Leaflet,JavaScript,0.09090909090909091,409,33,18,0,3,30,20,33,8
Leaflet/Leaflet,JavaScript,0.0,69,7,6,0,0,26,9,43,9
Leaflet/Leaflet,JavaScript,0.0,7,0,2,1,0,35,9,23,10
Leaflet/Leaflet,JavaScript,0.0,9,1,1,0,0,5,2,2,11
Leaflet/Leaflet,JavaScript,0.0,274,12,11,1,0,31,12,35,12
Leaflet/Leaflet,JavaScript,0.05714285714285714,68,21,9,0,2,33,7,9,13
Leaflet/Leaflet,JavaScript,0.0,5,1,2,0,0,2,3,5,14
Leaflet/Leaflet,JavaScript,0.04,7094,5518,35,2,2,48,10,61,15
Leaflet/Leaflet,JavaScript,0.1111111111111111,1888,1428,60,0,9,72,25,67,16
Leaflet/Leaflet,JavaScript,0.1388888888888889,831,485,25,0,5,31,18,32,17
Leaflet/Leaflet,JavaScript,0.18181818181818182,7808,7226,41,0,12,54,21,34,18
Leaflet/Leaflet,JavaScript,0.03571428571428571,869,129,21,0,2,54,14,284,19
Leaflet/Leaflet,JavaScript,0.11475409836065574,379,42,23,1,7,54,13,27,20
Leaflet/Leaflet,JavaScript,0.08333333333333333,243,11,10,0,2,22,10,18,21
Leaflet/Leaflet,JavaScript,0.0,178,11,13,1,0,24,13,25,22
Leaflet/Leaflet,JavaScript,0.09803921568627451,753,152,49,2,5,46,22,68,23
Leaflet/Leaflet,JavaScript,0.1956521739130435,686,132,17,0,9,37,11,24,24
Leaflet/Leaflet,JavaScript,0.07894736842105263,167,51,27,0,3,35,18,277,25
Leaflet/Leaflet,JavaScript,0.022727272727272728,450,9,15,0,1,43,15,27,26
Leaflet/Leaflet,JavaScript,0.18181818181818182,12,1,3,0,2,9,8,11,27
Leaflet/Leaflet,JavaScript,0.11290322580645161,3076,1698,128,1,7,55,17,172,28
Leaflet/Leaflet,JavaScript,0.0,130,10,13,0,0,19,16,20,29
Leaflet/Leaflet,JavaScript,0.22580645161290322,11041,315,151,1,14,48,24,304,30
Leaflet/Leaflet,JavaScript,0.09473684210526316,336,401,35,0,9,86,27,291,31
Leaflet/Leaflet,JavaScript,0.10596026490066225,23622,10157,244,4,16,135,36,321,32
Leaflet/Leaflet,JavaScript,0.02702702702702703,21544,41,151,2,1,36,20,532,33
Leaflet/Leaflet,JavaScript,0.0,17872,7013,81,1,0,26,14,517,34
Leaflet/Leaflet,JavaScript,0.05084745762711865,312,58,25,2,3,56,19,31,35
Leaflet/Leaflet,JavaScript,0.2692307692307692,11012,74,80,2,14,38,11,271,36
Leaflet/Leaflet,JavaScript,0.07246376811594203,348,315,20,0,5,64,24,29,37
Leaflet/Leaflet,JavaScript,0.08108108108108109,33120,86,224,0,3,34,19,1034,38
Leaflet/Leaflet,JavaScript,0.0,7026,6609,16,0,0,24,10,30,39
Leaflet/Leaflet,JavaScript,0.058823529411764705,928,441,54,1,3,48,27,46,40
Leaflet/Leaflet,JavaScript,0.0,283,38,22,1,0,69,21,33,41
Leaflet/Leaflet,JavaScript,0.041666666666666664,98,22,16,1,1,23,17,18,42
Leaflet/Leaflet,JavaScript,0.08196721311475409,426,142,39,3,10,112,25,44,43
Leaflet/Leaflet,JavaScript,0.0,264,94,13,0,0,24,10,21,44
Leaflet/Leaflet,JavaScript,0.0,497,334,17,1,0,20,8,17,45
NancyFx/Nancy,C#,0.0,1582,224,57,0,0,21,10,11,1
NancyFx/Nancy,C#,0.0,733,232,14,0,0,3,3,5,2
NancyFx/Nancy,C#,0,137,19,7,0,0,0,2,5,3
NancyFx/Nancy,C#,0.18181818181818182,7053,284,202,0,2,9,25,74,4
NancyFx/Nancy,C#,0.029411764705882353,1828,991,50,1,1,33,10,52,5
NancyFx/Nancy,C#,0.0,3913,343,59,0,0,11,8,15,6
NancyFx/Nancy,C#,0.15384615384615385,1045,47,54,0,4,22,7,14,7
NancyFx/Nancy,C#,0.11764705882352941,1148,611,23,1,2,15,17,71,8
NancyFx/Nancy,C#,0.08108108108108109,2106,728,115,1,3,34,21,53,9
NancyFx/Nancy,C#,0.1111111111111111,136,9,15,0,2,16,6,8,10
NancyFx/Nancy,C#,0.625,819,193,37,0,5,3,7,32,11
NancyFx/Nancy,C#,0.4772727272727273,1215,326,63,1,21,23,9,62,12
NancyFx/Nancy,C#,0.8571428571428571,85,6,8,0,6,1,4,7,13
NancyFx/Nancy,C#,0.0,76,53,13,1,0,14,4,5,14
NancyFx/Nancy,C#,0.25,6974,1806,177,1,16,48,14,56,15
NancyFx/Nancy,C#,0.2,1514,543,36,3,2,8,9,18,16
NancyFx/Nancy,C#,0.0,4184,791,114,0,0,3,5,33,17
NancyFx/Nancy,C#,0.22,2003,594,40,0,11,39,9,22,18
NancyFx/Nancy,C#,0.36036036036036034,2733,1082,126,0,40,71,23,85,19
NancyFx/Nancy,C#,0.7142857142857143,1287,2065,73,0,35,14,7,48,20
NancyFx/Nancy,C#,0.47368421052631576,1150,266,50,2,9,10,11,27,21
NancyFx/Nancy,C#,0.5,1669,266,52,2,18,18,15,32,22
NancyFx/Nancy,C#,0.0,422,120,25,0,0,2,8,21,23
NancyFx/Nancy,C#,0.10526315789473684,4564,1415,187,0,2,17,10,235,24
NancyFx/Nancy,C#,0.16666666666666666,3133,353,89,0,9,45,12,40,25
NancyFx/Nancy,C#,0.0,767,244,39,0,0,14,12,25,26
NancyFx/Nancy,C#,0.6991150442477876,5286,273,119,1,79,34,19,100,27
NancyFx/Nancy,C#,0.5641025641025641,1059,594,56,0,22,17,10,36,28
NancyFx/Nancy,C#,0.36363636363636365,5332,313,112,0,12,21,15,40,29
NancyFx/Nancy,C#,0.22580645161290322,2651,1877,120,0,7,24,20,75,30
NancyFx/Nancy,C#,0.573170731707317,4921,1929,241,0,47,35,34,121,31
NancyFx/Nancy,C#,0.4166666666666667,247,49,21,1,10,14,12,23,32
NancyFx/Nancy,C#,0.5692307692307692,6517,193,131,0,37,28,18,146,33
NancyFx/Nancy,C#,0.6363636363636364,6843,3800,127,0,14,8,16,50,34
NancyFx/Nancy,C#,0.18181818181818182,1507,106,42,0,8,36,10,33,35
NancyFx/Nancy,C#,0.6,703,85,13,0,3,2,5,18,36
NancyFx/Nancy,C#,0.09090909090909091,11757,11905,666,0,2,20,5,14,37
NancyFx/Nancy,C#,0.3888888888888889,1600,339,85,0,35,55,13,104,38
NancyFx/Nancy,C#,0.0,234,31,20,0,0,8,9,14,39
NancyFx/Nancy,C#,0.5116279069767442,9556,1629,106,1,22,21,8,32,40
NancyFx/Nancy,C#,0.30952380952380953,2686,914,78,0,13,29,10,82,41
NancyFx/Nancy,C#,0.29411764705882354,690,303,40,0,15,36,11,53,42
NancyFx/Nancy,C#,0.029411764705882353,1062,5138,136,1,1,33,10,44,43
NancyFx/Nancy,C#,0.23809523809523808,711,202,74,0,10,32,11,42,44
NancyFx/Nancy,C#,0.8055555555555556,837,386,34,0,29,7,8,21,45
OPM/opm-parser,C++,0.12745098039215685,2445,1220,623,0,13,89,27,66,1
OPM/opm-parser,C++,0.0,473,27,26,0,0,25,3,9,2
OPM/opm-parser,C++,0.0,3419,1905,241,0,0,27,17,42,3
OPM/opm-parser,C++,0,394,353,89,0,0,0,3,11,4
OPM/opm-parser,C++,0.2777777777777778,1871,853,59,0,5,13,5,50,5
