ProjectName,Language,ShareReviewComments,Additions,Deletions,ChangedFiles,Assignees,ReviewComments,GeneralComments,TotalPrs,Commits,Period
cylc/cylc,Python,0.06451612903225806,385,99,27,9,2,29,9,18,1
cylc/cylc,Python,0.14689265536723164,8552,5646,236,14,26,151,14,75,2
cylc/cylc,Python,0.5894736842105263,1931,642,77,11,112,78,11,43,3
cylc/cylc,Python,0.18518518518518517,470,135,19,6,5,22,6,13,4
cylc/cylc,Python,0.1111111111111111,719,332,69,13,7,56,13,29,5
cylc/cylc,Python,0.1206896551724138,308,2222,56,7,7,51,7,31,6
cylc/cylc,Python,0.22807017543859648,1833,754,63,6,13,44,6,22,7
cylc/cylc,Python,0.4,3059,2339,123,8,24,36,8,18,8
cylc/cylc,Python,0.18461538461538463,1062,633,72,14,12,53,14,28,9
cylc/cylc,Python,0.14285714285714285,272,61,18,9,8,48,9,17,10
cylc/cylc,Python,0.08695652173913043,776,187,54,11,4,42,11,27,11
cylc/cylc,Python,0.36486486486486486,3649,2917,166,8,27,47,8,23,12
cylc/cylc,Python,0.13513513513513514,214,71,15,7,5,32,7,13,13
cylc/cylc,Python,0.1875,487,61,66,10,3,13,10,13,14
cylc/cylc,Python,0.39285714285714285,902,578,76,5,22,34,5,22,15
cylc/cylc,Python,0.1836734693877551,2190,1450,237,8,18,80,8,30,16
cylc/cylc,Python,0.0,207,186,11,3,0,11,3,3,17
cylc/cylc,Python,0.22,1043,845,93,5,22,78,5,28,18
cylc/cylc,Python,0.20833333333333334,455,263,16,5,5,19,5,12,19
cylc/cylc,Python,0.3333333333333333,9043,412,85,9,20,40,10,22,20
cylc/cylc,Python,0.24,610,370,44,6,12,38,6,18,21
cylc/cylc,Python,0.3076923076923077,1575,1347,83,8,16,36,8,14,22
cylc/cylc,Python,0.30864197530864196,1810,3430,817,17,25,56,17,36,23
cylc/cylc,Python,0.3898305084745763,2452,2031,120,16,46,72,14,20,24
cylc/cylc,Python,0.40425531914893614,2439,1277,88,27,57,84,25,45,25
cylc/cylc,Python,0.21052631578947367,1136,753,30,9,8,30,7,15,26
cylc/cylc,Python,0.16494845360824742,898,13600,319,23,16,81,15,32,27
