ProjectName,Language,ShareReviewComments,Additions,Deletions,ChangedFiles,Assignees,ReviewComments,GeneralComments,TotalPrs,Commits,Period
ether/etherpad-lite,JavaScript,0.0,5,5,1,0,0,17,9,36,1
ether/etherpad-lite,JavaScript,0.046875,323,608,6,0,3,61,12,17,2
ether/etherpad-lite,JavaScript,0.0,56,4,5,0,0,2,1,2,3
ether/etherpad-lite,JavaScript,0.0,18,8,2,0,0,2,2,2,4
ether/etherpad-lite,JavaScript,0.0,32,5,3,0,0,6,2,8,5
ether/etherpad-lite,JavaScript,0.0,88,0,3,0,0,2,1,1,6
ether/etherpad-lite,JavaScript,0.045454545454545456,855,34,10,0,1,21,5,30,7
ether/etherpad-lite,JavaScript,0.043010752688172046,2172,1476,117,0,8,178,20,65,8
ether/etherpad-lite,JavaScript,0.2,294,58,14,0,4,16,13,38,9
ether/etherpad-lite,JavaScript,0.2608695652173913,4,2,1,1,6,17,5,42,10
ether/etherpad-lite,JavaScript,0.13333333333333333,258,113,19,0,4,26,12,24,11
ether/etherpad-lite,JavaScript,0.07936507936507936,2181,7925,150,1,5,58,25,109,12
ether/etherpad-lite,JavaScript,0.08,1784,1687,62,1,4,46,24,80,13
ether/etherpad-lite,JavaScript,0.0,15289,5005,210,1,0,99,31,170,14
ether/etherpad-lite,JavaScript,0.013333333333333334,3421,2565,132,0,1,74,14,111,15
ether/etherpad-lite,JavaScript,0.0,363,26,23,0,0,21,6,12,16
ether/etherpad-lite,JavaScript,0.043478260869565216,49818,12056,520,0,2,44,38,1063,17
ether/etherpad-lite,JavaScript,0.0,1799,2698,68,1,0,34,22,63,18
ether/etherpad-lite,JavaScript,0.05263157894736842,16838,7303,173,0,2,36,5,281,19
ether/etherpad-lite,JavaScript,0.0,17424,6118,200,0,0,40,16,299,20
ether/etherpad-lite,JavaScript,0.0,23,4,4,0,0,11,12,27,21
ether/etherpad-lite,JavaScript,0.03125,826,337,53,0,2,62,17,46,22
ether/etherpad-lite,JavaScript,0.16666666666666666,3037,2670,126,0,14,70,25,298,23
ether/etherpad-lite,JavaScript,0.07894736842105263,523,202,20,0,3,35,12,39,24
ether/etherpad-lite,JavaScript,0.08571428571428572,5426,653,94,0,3,32,17,100,25
ether/etherpad-lite,JavaScript,0.0,35,4,6,0,0,18,5,10,26
ether/etherpad-lite,JavaScript,0.0,8487,5794,189,0,0,38,19,361,27
ether/etherpad-lite,JavaScript,0.09090909090909091,591,231,43,0,10,100,16,55,28
ether/etherpad-lite,JavaScript,0.06976744186046512,5083,3074,114,0,3,40,17,267,29
ether/etherpad-lite,JavaScript,0.0,611,149,51,0,0,17,16,83,30
ether/etherpad-lite,JavaScript,0.0,5538,2209,274,0,0,71,31,231,31
ether/etherpad-lite,JavaScript,0.09722222222222222,16788,1120,248,0,21,195,49,441,32
ether/etherpad-lite,JavaScript,0.16891891891891891,451,108,46,0,25,123,32,111,33
ether/etherpad-lite,JavaScript,0.061224489795918366,5430,6268,217,0,3,46,7,200,34
ether/etherpad-lite,JavaScript,0.12280701754385964,6678,2232,253,0,7,50,25,277,35
ether/etherpad-lite,JavaScript,0.0,1893,446,112,0,0,22,35,118,36
ether/etherpad-lite,JavaScript,0.06451612903225806,4749,2060,139,0,6,87,46,213,37
ether/etherpad-lite,JavaScript,0.12,11893,9974,65,0,18,132,33,100,38
ether/etherpad-lite,JavaScript,0.29411764705882354,790,239,34,0,15,36,26,48,39
ether/etherpad-lite,JavaScript,0.16,1548,747,72,0,12,63,38,106,40
ether/etherpad-lite,JavaScript,0.1935483870967742,441,324,34,0,6,25,27,59,41
ether/etherpad-lite,JavaScript,0.1509433962264151,259,192,29,0,8,45,16,44,42
ether/etherpad-lite,JavaScript,0.0,247,4,3,0,0,3,3,9,43
ether/etherpad-lite,JavaScript,0.0,138,30,2,0,0,17,2,3,44
ether/etherpad-lite,JavaScript,0.0,92,55,7,0,0,21,5,8,45
Leaflet/Leaflet,JavaScript,0.0,17,10,5,0,0,9,1,2,1
Leaflet/Leaflet,JavaScript,0.0,8,3,2,0,0,2,1,1,2
Leaflet/Leaflet,JavaScript,0.0,62,15,4,0,0,10,3,3,3
Leaflet/Leaflet,JavaScript,0.0,11,2,1,0,0,15,3,7,4
Leaflet/Leaflet,JavaScript,0.0,5467,5433,11,0,0,20,6,8,5
Leaflet/Leaflet,JavaScript,0.0,13888,29,115,0,0,24,13,300,6
Leaflet/Leaflet,JavaScript,0.029850746268656716,7034,6600,23,0,2,65,18,55,7
Leaflet/Leaflet,JavaScript,0.09090909090909091,409,33,18,0,3,30,20,33,8
Leaflet/Leaflet,JavaScript,0.0,69,7,6,0,0,26,9,43,9
Leaflet/Leaflet,JavaScript,0.0,7,0,2,1,0,35,9,23,10
Leaflet/Leaflet,JavaScript,0.0,9,1,1,0,0,5,2,2,11
Leaflet/Leaflet,JavaScript,0.0,274,12,11,1,0,31,12,35,12
Leaflet/Leaflet,JavaScript,0.05714285714285714,68,21,9,0,2,33,7,9,13
Leaflet/Leaflet,JavaScript,0.0,5,1,2,0,0,2,3,5,14
Leaflet/Leaflet,JavaScript,0.04,7094,5518,35,2,2,48,10,61,15
Leaflet/Leaflet,JavaScript,0.1111111111111111,1888,1428,60,0,9,72,25,67,16
Leaflet/Leaflet,JavaScript,0.1388888888888889,831,485,25,0,5,31,18,32,17
Leaflet/Leaflet,JavaScript,0.18181818181818182,7808,7226,41,0,12,54,21,34,18
Leaflet/Leaflet,JavaScript,0.03571428571428571,869,129,21,0,2,54,14,284,19
Leaflet/Leaflet,JavaScript,0.11475409836065574,379,42,23,1,7,54,13,27,20
Leaflet/Leaflet,JavaScript,0.08333333333333333,243,11,10,0,2,22,10,18,21
Leaflet/Leaflet,JavaScript,0.0,178,11,13,1,0,24,13,25,22
Leaflet/Leaflet,JavaScript,0.09803921568627451,753,152,49,2,5,46,22,68,23
Leaflet/Leaflet,JavaScript,0.1956521739130435,686,132,17,0,9,37,11,24,24
Leaflet/Leaflet,JavaScript,0.07894736842105263,167,51,27,0,3,35,18,277,25
Leaflet/Leaflet,JavaScript,0.022727272727272728,450,9,15,0,1,43,15,27,26
Leaflet/Leaflet,JavaScript,0.18181818181818182,12,1,3,0,2,9,8,11,27
Leaflet/Leaflet,JavaScript,0.11290322580645161,3076,1698,128,1,7,55,17,172,28
Leaflet/Leaflet,JavaScript,0.0,130,10,13,0,0,19,16,20,29
Leaflet/Leaflet,JavaScript,0.22580645161290322,11041,315,151,1,14,48,24,304,30
Leaflet/Leaflet,JavaScript,0.09473684210526316,336,401,35,0,9,86,27,291,31
Leaflet/Leaflet,JavaScript,0.10596026490066225,23622,10157,244,4,16,135,36,321,32
Leaflet/Leaflet,JavaScript,0.02702702702702703,21544,41,151,2,1,36,20,532,33
Leaflet/Leaflet,JavaScript,0.0,17872,7013,81,1,0,26,14,517,34
Leaflet/Leaflet,JavaScript,0.05084745762711865,312,58,25,2,3,56,19,31,35
Leaflet/Leaflet,JavaScript,0.2692307692307692,11012,74,80,2,14,38,11,271,36
Leaflet/Leaflet,JavaScript,0.07246376811594203,348,315,20,0,5,64,24,29,37
Leaflet/Leaflet,JavaScript,0.08108108108108109,33120,86,224,0,3,34,19,1034,38
Leaflet/Leaflet,JavaScript,0.0,7026,6609,16,0,0,24,10,30,39
Leaflet/Leaflet,JavaScript,0.058823529411764705,928,441,54,1,3,48,27,46,40
Leaflet/Leaflet,JavaScript,0.0,283,38,22,1,0,69,21,33,41
Leaflet/Leaflet,JavaScript,0.041666666666666664,98,22,16,1,1,23,17,18,42
Leaflet/Leaflet,JavaScript,0.08196721311475409,426,142,39,3,10,112,25,44,43
Leaflet/Leaflet,JavaScript,0.0,264,94,13,0,0,24,10,21,44
Leaflet/Leaflet,JavaScript,0.0,497,334,17,1,0,20,8,17,45
ReactiveCocoa/ReactiveCocoa,Swift,0.45,1992,905,96,10,54,66,13,110,1
