ProjectName,Language,ShareReviewComments,Additions,Deletions,ChangedFiles,Assignees,ReviewComments,GeneralComments,TotalPrs,Commits,Period
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.6235294117647059,3179,1572,94,0,53,32,17,80,1
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.6461538461538462,15310,5324,409,0,84,46,24,325,2
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.037037037037037035,80987,55234,1507,0,1,26,27,453,3
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.3125,1757,964,60,0,5,11,12,27,4
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.16666666666666666,2569,580,130,0,2,10,20,58,5
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.0,361,33,15,0,0,4,8,18,6
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.6129032258064516,2955,966,93,0,57,36,22,62,7
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.3225806451612903,11216,27582,540,0,10,21,13,352,8
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.07692307692307693,15870,415,92,0,1,12,9,22,9
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.20833333333333334,4621,3227,147,0,10,38,21,143,10
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.3076923076923077,10632,2507,746,0,24,54,34,129,11
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.39285714285714285,2408,872,70,0,11,17,10,21,12
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.5875,1841,261,71,0,47,33,19,49,13
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.4189189189189189,128292,192566,1653,0,31,43,29,316,14
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.0,705,700,27,0,0,4,7,10,15
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.6666666666666666,120,96,8,0,2,1,4,16,16
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.36363636363636365,18,15,3,0,4,7,1,3,17
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.1746031746031746,11333,3080,530,0,11,52,34,183,18
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.3333333333333333,1632,204,69,0,11,22,15,36,19
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.375,2447,532,98,0,12,20,11,49,20
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.5,698,207,31,0,13,13,9,23,21
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.4117647058823529,7972,2311,205,0,21,30,13,168,22
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.4936708860759494,18097,4642,375,0,39,40,16,43,23
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.3125,28339,11252,694,0,5,11,14,254,24
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.3,10,9,4,0,3,7,4,6,25
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.1875,2136,3245,60,0,3,13,14,59,26
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.4782608695652174,375,523,60,0,22,24,13,24,27
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.24528301886792453,938,278,57,0,13,40,21,66,28
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.3333333333333333,7178,5760,402,0,11,22,21,196,29
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.37037037037037035,87,27,11,0,10,17,6,25,30
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.43478260869565216,6798,4003,221,0,40,52,24,93,31
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.36,5635,578,161,0,9,16,12,97,32
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.24,2800,15149,189,0,6,19,19,45,33
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.5,498,2242,41,0,4,4,3,7,34
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.6333333333333333,1102,1092,75,0,19,11,8,17,35
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.3333333333333333,37,26,7,0,3,6,4,8,36
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.7105263157894737,750,783,45,0,27,11,5,10,37
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.4225352112676056,18793,26921,672,0,30,41,18,94,38
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.3333333333333333,3667,4907,234,0,29,58,22,78,39
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.288135593220339,56977,37989,1299,0,17,42,26,325,40
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.12121212121212122,561,445,60,0,4,29,13,34,41
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.2714285714285714,7102,1671,308,0,19,51,24,101,42
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.625,2089,606,114,0,80,48,14,39,43
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.37142857142857144,15975,4782,651,0,13,22,16,173,44
forcedotcom/SalesforceMobileSDK-iOS,Objective-C,0.21621621621621623,302205,145923,2633,0,8,29,33,94,45
OPM/opm-parser,C++,0.12745098039215685,2445,1220,623,0,13,89,27,66,1
OPM/opm-parser,C++,0.0,473,27,26,0,0,25,3,9,2
OPM/opm-parser,C++,0.0,3419,1905,241,0,0,27,17,42,3
OPM/opm-parser,C++,0,394,353,89,0,0,0,3,11,4
OPM/opm-parser,C++,0.2777777777777778,1871,853,59,0,5,13,5,50,5
OPM/opm-parser,C++,0.030303030303030304,1523,546,99,0,1,32,10,38,6
OPM/opm-parser,C++,0.2459016393442623,688,185,51,0,15,46,13,50,7
OPM/opm-parser,C++,0.0,1170,246,65,0,0,4,8,30,8
OPM/opm-parser,C++,0.0,152,2445,41,0,0,21,7,20,9
OPM/opm-parser,C++,0.0,1118,480,21,0,0,39,5,31,10
OPM/opm-parser,C++,0.0,238,394,20,0,0,7,9,27,11
OPM/opm-parser,C++,0.0,2722,649,80,0,0,21,8,25,12
OPM/opm-parser,C++,0.0,587,43,16,0,0,5,3,6,13
OPM/opm-parser,C++,0.32,502,1070,67,0,16,34,20,74,14
OPM/opm-parser,C++,0.631578947368421,2436,790,96,0,24,14,11,40,15
OPM/opm-parser,C++,0.48148148148148145,2844,173,48,0,13,14,8,27,16
OPM/opm-parser,C++,0.08695652173913043,971,353,21,0,2,21,8,15,17
OPM/opm-parser,C++,0.2413793103448276,2520,511,83,0,7,22,7,21,18
OPM/opm-parser,C++,0.31958762886597936,2141,492,114,0,31,66,24,51,19
OPM/opm-parser,C++,0.2222222222222222,629,202,43,0,4,14,11,30,20
OPM/opm-parser,C++,0.05,5321,3583,202,0,1,19,12,67,21
OPM/opm-parser,C++,0.26666666666666666,1702,632,102,0,4,11,12,47,22
OPM/opm-parser,C++,0.391304347826087,953,126,81,0,18,28,13,30,23
OPM/opm-parser,C++,0.6493506493506493,1914,155,44,0,50,27,14,45,24
OPM/opm-parser,C++,0.25,2092,161,69,0,17,51,10,66,25
OPM/opm-parser,C++,0.0,37,152,10,0,0,3,5,6,26
OPM/opm-parser,C++,0.5454545454545454,711,1,15,0,6,5,3,10,27
OPM/opm-parser,C++,0.961038961038961,4850,4623,170,0,74,3,5,35,28
OPM/opm-parser,C++,0,26,0,2,0,0,0,1,1,29
OPM/opm-parser,C++,0.05555555555555555,5903,2413,575,0,1,17,11,34,30
OPM/opm-parser,C++,0.0,5457,6484,315,0,0,34,19,49,31
OPM/opm-parser,C++,0.1956521739130435,2557,4424,81,0,9,37,12,26,32
OPM/opm-parser,C++,0.3114754098360656,1420,471,72,0,19,42,12,39,33
OPM/opm-parser,C++,0.46987951807228917,4113,6439,275,0,39,44,17,60,34
OPM/opm-parser,C++,0.27102803738317754,6724,5089,235,0,29,78,23,57,35
OPM/opm-parser,C++,0.5454545454545454,2675,1875,166,0,84,70,26,116,36
OPM/opm-parser,C++,0.4025974025974026,1020,528,91,0,31,46,16,44,37
