"ProjectName","PRs","PValue","R2","Coefficient","PercentageExplained","ModelType"
"Leaflet/Leaflet",29,0.598896402618462,0.718951431710112,0.174964042891308,28.1048568289888,"Non-Hurdle"
"MarkUsProject/Markus",419,0.000327004607161989,0.308723831323794,-0.612636404177454,69.1276168676206,"Non-Hurdle"
"NancyFx/Nancy",111,0.521594195597391,0.253706015130509,0.199153423513507,74.6293984869491,"Non-Hurdle"
"OP2/PyOP2",36,0.123279335514816,0.564415670829435,-1.10959012569996,43.5584329170565,"Non-Hurdle"
"OPM/opm-core",20,0.913217087275086,0.883009753105116,-0.0819868024604145,11.6990246894884,"Non-Hurdle"
"OPM/opm-parser",53,0.106704988638057,0.309032969636779,-0.859708507591659,69.0967030363221,"Non-Hurdle"
"RestKit/RestKit",38,0.211087937611271,0.465690556156981,0.95548817681493,53.430944384302,"Non-Hurdle"
"OSU-Net/cyder",29,0.916989389137631,0.721710752702894,-0.0710181042726363,27.8289247297106,"Non-Hurdle"
"Theano/Theano",179,0.240297063820459,0.202701112454228,-0.395553137885318,79.7298887545772,"Non-Hurdle"
"PCSX2/pcsx2",57,0.52989993794629,0.302290928737753,-0.2359322272705,69.7709071262247,"Non-Hurdle"
"PX4/Firmware",131,0.000199558433918838,0.307788579303822,-0.751600776502945,69.2211420696178,"Non-Hurdle"
"ansible/ansible-modules-core",42,0.170527603717831,0.321657180694564,-0.459401737080444,67.8342819305437,"Non-Hurdle"
"antlr/antlr4",24,0.386931847892059,0.667373294458406,-0.636435767869113,33.2626705541594,"Non-Hurdle"
"PecanProject/pecan",94,0.0980367754431181,0.405726164298378,-0.524283091929908,59.4273835701621,"Non-Hurdle"
"Pylons/pyramid",26,0.398652960277355,0.540674050926216,-0.501129248608156,45.9325949073784,"Non-Hurdle"
"AnalyticalGraphicsInc/cesium",239,0.312673613463224,0.468967188367371,-0.26879254477872,53.1032811632629,"Non-Hurdle"
"Automattic/_s",17,0.749981314574432,0.597670833165011,-0.501342558806529,40.2329166834989,"Non-Hurdle"
"Azure/azure-sdk-for-node",14,0.118588465976539,0.983501183930096,11.9359969373435,1.64988160699042,"Non-Hurdle"
"ParadiseSS13/Paradise",40,0.935708903303458,0.419147178557158,-0.109210594788019,58.0852821442842,"Non-Hurdle"
"ReactiveX/RxJava",131,0.140868946957004,0.131145735717173,-0.481043103996089,86.8854264282827,"Non-Hurdle"
"TrinityCore/TrinityCore",388,0.720945543955333,0.221083061262351,-0.0608790196293859,77.8916938737649,"Non-Hurdle"
"Azure/azure-xplat-cli",19,0.0659291558114921,0.844003371046297,-2.34447922119808,15.5996628953703,"Non-Hurdle"
"BabylonJS/Babylon.js",21,0.928555176466749,0.95137206775904,0.0372559256595028,4.86279322409604,"Non-Hurdle"
"UniversalMediaServer/UniversalMediaServer",24,0.399298315758403,0.758392162476946,-0.587790466183584,24.1607837523054,"Non-Hurdle"
"Vauxoo/addons-vauxoo",24,0.718036142762352,0.695828427138102,-0.175360058015858,30.4171572861898,"Non-Hurdle"
"appcelerator/titanium_mobile",712,0.00913314703407739,0.222499981706126,-0.353258879267505,77.7500018293875,"Non-Hurdle"
"appleseedhq/appleseed",39,0.264677346710327,0.606438514757369,0.970993707760083,39.3561485242631,"Non-Hurdle"
"JuliaLang/julia",45,0.012456425130673,0.497510259493445,-2.19237825452717,50.2489740506555,"Non-Hurdle"
"KSP-KOS/KOS",58,0.934452059024749,0.332064065949223,-0.0424297425336072,66.7935934050777,"Non-Hurdle"
"astaxie/beego",43,0.370843682131068,0.318995998674493,-0.350737126174647,68.1004001325507,"Non-Hurdle"
"bokeh/bokeh",33,0.546390026748817,0.57380297216261,0.592904206367213,42.619702783739,"Non-Hurdle"
"bosun-monitor/bosun",37,0.142441587912375,0.684772079363258,-1.60249117259152,31.5227920636742,"Non-Hurdle"
"boto/boto",29,0.984952159063534,0.679992595239658,-0.00683454170108736,32.0007404760342,"Non-Hurdle"
"astropy/astropy",111,0.444964338522048,0.428643487727227,-0.333509632871859,57.1356512272773,"Non-Hurdle"
"buildbot/buildbot",155,0.457818725119647,0.171139067208526,-0.234859445379252,82.8860932791474,"Non-Hurdle"
"WoltLab/WCF",41,0.814015889635848,0.522688286273613,0.0761482170062375,47.7311713726387,"Non-Hurdle"
"Zarel/Pokemon-Showdown",80,0.0724047188949285,0.40187540342987,-0.56098967648494,59.812459657013,"Non-Hurdle"
"cakephp/cakephp",200,0.360262218384876,0.212702846700563,0.157003984676781,78.7297153299437,"Non-Hurdle"
"Baystation12/Baystation12",313,0.107739949021786,0.178573542220315,-0.249968531823555,82.1426457779685,"Non-Hurdle"
"cakephp/docs",466,9.40325078702878e-06,0.277399471039207,-0.563274355013932,72.2600528960793,"Non-Hurdle"
