ProjectName,Language,ShareReviewComments,Additions,Deletions,ChangedFiles,Assignees,ReviewComments,GeneralComments,TotalPrs,Commits,Period
Leaflet/Leaflet,JavaScript,0.02197802197802198,20922,6629,138,0,2,89,31,355,1
Leaflet/Leaflet,JavaScript,0.05084745762711865,478,40,24,0,3,56,29,76,2
Leaflet/Leaflet,JavaScript,0.0,16,1,3,1,0,40,11,25,3
Leaflet/Leaflet,JavaScript,0.030303030303030304,342,33,20,1,2,64,19,44,4
Leaflet/Leaflet,JavaScript,0.038461538461538464,7099,5519,37,2,2,50,13,66,5
Leaflet/Leaflet,JavaScript,0.11965811965811966,2719,1913,85,0,14,103,43,99,6
Leaflet/Leaflet,JavaScript,0.11475409836065574,8677,7355,62,0,14,108,35,318,7
Leaflet/Leaflet,JavaScript,0.10588235294117647,622,53,33,1,9,76,23,45,8
Leaflet/Leaflet,JavaScript,0.06666666666666667,931,163,62,3,5,70,35,93,9
Leaflet/Leaflet,JavaScript,0.14285714285714285,853,183,44,0,12,72,29,301,10
Leaflet/Leaflet,JavaScript,0.05454545454545454,462,10,18,0,3,52,23,38,11
Leaflet/Leaflet,JavaScript,0.08641975308641975,3206,1708,141,1,7,74,33,192,12
Leaflet/Leaflet,JavaScript,0.1464968152866242,11377,716,186,1,23,134,51,595,13
Leaflet/Leaflet,JavaScript,0.09042553191489362,45166,10198,395,6,17,171,56,853,14
Leaflet/Leaflet,JavaScript,0.03529411764705882,18184,7071,106,3,3,82,33,548,15
Leaflet/Leaflet,JavaScript,0.15702479338842976,11360,389,100,2,19,102,35,300,16
Leaflet/Leaflet,JavaScript,0.04918032786885246,40146,6695,240,0,3,58,29,1064,17
Leaflet/Leaflet,JavaScript,0.025,1211,479,76,2,3,117,48,79,18
Leaflet/Leaflet,JavaScript,0.07534246575342465,524,164,55,4,11,135,42,62,19
Leaflet/Leaflet,JavaScript,0.0,761,428,30,1,0,44,18,38,20
Leaflet/Leaflet,JavaScript,0.0547945205479452,10124,714,39,3,4,69,24,33,21
Leaflet/Leaflet,JavaScript,0.09333333333333334,19262,7435,99,0,7,68,29,296,22
Leaflet/Leaflet,JavaScript,0.11842105263157894,3215,2894,124,0,18,134,35,167,23
Leaflet/Leaflet,JavaScript,0.09876543209876543,556,285,47,1,8,73,20,51,24
Leaflet/Leaflet,JavaScript,0.06285714285714286,1037,746,56,4,11,164,32,347,25
MarkUsProject/Markus,Ruby,0.23809523809523808,7039,2148,445,12,35,112,30,183,1
MarkUsProject/Markus,Ruby,0.16666666666666666,15265,5234,283,23,18,90,57,289,2
MarkUsProject/Markus,Ruby,0.49206349206349204,906,1241,109,0,31,32,9,38,3
MarkUsProject/Markus,Ruby,0.14285714285714285,1505,256,21,0,5,30,20,53,4
MarkUsProject/Markus,Ruby,0.38461538461538464,1184,9485,98,1,15,24,15,54,5
MarkUsProject/Markus,Ruby,0.0,57,24,6,0,0,3,7,217,6
MarkUsProject/Markus,Ruby,0.4292237442922374,1153,690,102,0,94,125,43,184,7
MarkUsProject/Markus,Ruby,0.8957845433255269,8493,5586,563,0,1530,178,53,357,8
MarkUsProject/Markus,Ruby,0.7464114832535885,28663,31439,853,0,312,106,60,505,9
MarkUsProject/Markus,Ruby,0.7536764705882353,1506,930,121,1,205,67,57,154,10
MarkUsProject/Markus,Ruby,0.7813953488372093,1086,850,101,1,168,47,41,166,11
MarkUsProject/Markus,Ruby,0.915,16541,21260,763,0,549,51,41,619,12
MarkUsProject/Markus,Ruby,0.8976190476190476,197549,2590,913,0,377,43,37,249,13
MarkUsProject/Markus,Ruby,0.8604651162790697,85128,4782,742,0,259,42,41,760,14
MarkUsProject/Markus,Ruby,0.6861313868613139,1236,806,126,0,94,43,31,129,15
MarkUsProject/Markus,Ruby,0.8674351585014409,2267,459,153,0,301,46,21,182,16
MarkUsProject/Markus,Ruby,0.904296875,9702,3987,486,0,463,49,37,455,17
MarkUsProject/Markus,Ruby,0.9270833333333334,8131,4076,375,0,267,21,18,497,18
MarkUsProject/Markus,Ruby,0.6836158192090396,6188,4169,215,0,121,56,26,197,19
MarkUsProject/Markus,Ruby,0.9634146341463414,472,655,67,0,158,6,10,72,20
MarkUsProject/Markus,Ruby,0.9071428571428571,2499,2289,225,0,127,13,18,212,21
MarkUsProject/Markus,Ruby,0.9340659340659341,1497,759,98,0,170,12,19,191,22
MarkUsProject/Markus,Ruby,0.8333333333333334,294,915,69,0,35,7,19,52,23
MarkUsProject/Markus,Ruby,0.6649214659685864,15136,1820,373,0,127,64,35,476,24
MarkUsProject/Markus,Ruby,0.8627450980392157,1458,1490,182,0,264,42,26,148,25
NancyFx/Nancy,C#,0.10810810810810811,4958,390,113,0,4,33,15,29,1
NancyFx/Nancy,C#,0.09259259259259259,3254,1339,138,2,5,49,38,124,2
NancyFx/Nancy,C#,0.2692307692307692,955,202,52,0,7,19,13,40,3
NancyFx/Nancy,C#,0.5294117647058824,1300,332,71,1,27,24,13,69,4
NancyFx/Nancy,C#,0.20512820512820512,7050,1859,190,2,16,62,18,61,5
NancyFx/Nancy,C#,0.15384615384615385,5698,1334,150,3,2,11,14,51,6
NancyFx/Nancy,C#,0.3167701863354037,4736,1676,166,0,51,110,32,107,7
NancyFx/Nancy,C#,0.6470588235294118,2437,2331,123,2,44,24,18,75,8
NancyFx/Nancy,C#,0.47368421052631576,2091,386,77,2,18,20,23,53,9
NancyFx/Nancy,C#,0.1506849315068493,7697,1768,276,0,11,62,22,275,10
NancyFx/Nancy,C#,0.6220472440944882,6053,517,158,1,79,48,31,125,11
NancyFx/Nancy,C#,0.4722222222222222,6391,907,168,0,34,38,25,76,12
NancyFx/Nancy,C#,0.4778761061946903,7572,3806,361,0,54,59,54,196,13
NancyFx/Nancy,C#,0.5280898876404494,6764,242,152,1,47,42,30,169,14
NancyFx/Nancy,C#,0.3333333333333333,8350,3906,169,0,22,44,26,83,15
NancyFx/Nancy,C#,0.18518518518518517,12460,11990,679,0,5,22,10,32,16
NancyFx/Nancy,C#,0.35714285714285715,1834,370,105,0,35,63,22,118,17
NancyFx/Nancy,C#,0.4117647058823529,12242,2543,184,1,35,50,18,114,18
NancyFx/Nancy,C#,0.18823529411764706,1752,5441,176,1,16,69,21,97,19
NancyFx/Nancy,C#,0.5,1548,588,108,0,39,39,19,63,20
NancyFx/Nancy,C#,0.36619718309859156,1462,219,67,1,26,45,25,74,21
NancyFx/Nancy,C#,0.34265734265734266,6458,3980,245,1,49,94,37,129,22
NancyFx/Nancy,C#,0.16666666666666666,2628,733,123,1,35,175,32,111,23
NancyFx/Nancy,C#,0.3230769230769231,543,211,27,0,21,44,11,43,24
NancyFx/Nancy,C#,0.20535714285714285,1680,522,159,1,23,89,31,113,25
OP2/PyOP2,Python,0.35135135135135137,4474,1505,102,0,39,72,19,176,1
OP2/PyOP2,Python,0.5048543689320388,2141,1121,95,1,52,51,14,100,2
OP2/PyOP2,Python,0.2875,951,400,55,0,23,57,11,44,3
OP2/PyOP2,Python,0.23529411764705882,733,125,38,0,8,26,10,17,4
OP2/PyOP2,Python,0.5,2123,373,44,0,20,20,8,69,5
OP2/PyOP2,Python,0.24074074074074073,783,124,21,0,13,41,9,22,6
OP2/PyOP2,Python,0.1935483870967742,1147,1380,27,0,6,25,5,22,7
OP2/PyOP2,Python,0.0,1668,1239,52,0,0,13,6,49,8
OP2/PyOP2,Python,0.8111888111888111,2574,781,46,0,116,27,7,75,9
OP2/PyOP2,Python,0.37777777777777777,3512,2379,141,0,17,28,5,66,10
OP2/PyOP2,Python,0.5555555555555556,5387,3762,158,0,90,72,17,190,11
OP2/PyOP2,Python,0.034482758620689655,825,1718,78,0,1,28,6,46,12
OP2/PyOP2,Python,0.37,1981,415,96,0,37,63,21,103,13
OP2/PyOP2,Python,0.4666666666666667,1647,632,63,1,49,56,14,88,14
OP2/PyOP2,Python,0.3875,1186,611,59,3,31,49,14,56,15
OP2/PyOP2,Python,0.7732558139534884,1682,133,21,1,133,39,5,29,16
OP2/PyOP2,Python,0.2872340425531915,8591,2829,75,0,27,67,12,74,17
OP2/PyOP2,Python,0.6634146341463415,19214,964,87,0,136,69,17,124,18
OP2/PyOP2,Python,0.15625,1680,738,69,2,10,54,20,88,19
OP2/PyOP2,Python,0.5411764705882353,2305,494,57,1,46,39,14,51,20
OP2/PyOP2,Python,0.625,703,75,16,0,30,18,3,25,21
OP2/PyOP2,Python,0.5454545454545454,1078,236,17,0,24,20,7,30,22
OP2/PyOP2,Python,0.5,1367,218,22,1,19,19,5,45,23
OP2/PyOP2,Python,0.7941176470588235,947,505,8,0,27,7,2,21,24
OP2/PyOP2,Python,0.6526946107784432,1980,5792,82,0,109,58,9,55,25
OPM/opm-core,C++,0.1839080459770115,4091,428,82,1,16,71,22,43,1
OPM/opm-core,C++,0.04918032786885246,2606,12107,141,0,3,58,11,27,2
OPM/opm-core,C++,0.10344827586206896,440,4951,58,2,9,78,22,35,3
OPM/opm-core,C++,0.4716981132075472,454,203,33,0,25,28,12,28,4
OPM/opm-core,C++,0.48623853211009177,2058,591,39,0,53,56,9,29,5
OPM/opm-core,C++,0.125,432,140,46,0,3,21,8,14,6
OPM/opm-core,C++,0.3854166666666667,1591,3417,117,0,74,118,25,69,7
OPM/opm-core,C++,0.19642857142857142,1042,677,81,0,22,90,27,43,8
OPM/opm-core,C++,0.5789473684210527,1489,393,116,2,77,56,17,47,9
OPM/opm-core,C++,0.6527777777777778,1320,214,31,0,47,25,13,52,10
OPM/opm-core,C++,0.28125,1079,112,17,0,9,23,6,7,11
OPM/opm-core,C++,0.0,458,238,52,0,0,30,6,26,12
OPM/opm-core,C++,0.09615384615384616,1684,5144,108,0,10,94,16,23,13
OPM/opm-core,C++,0.1864406779661017,2023,6431,160,0,11,48,17,32,14
OPM/opm-core,C++,0.21311475409836064,801,3446,78,0,13,48,18,32,15
OPM/opm-core,C++,0.5396825396825397,606,448,36,0,68,58,12,35,16
OPM/opm-core,C++,0.19607843137254902,395,227,42,2,20,82,23,40,17
OPM/opm-core,C++,0.38235294117647056,192,28,15,0,13,21,8,19,18
OPM/opm-core,C++,0.0,59,63,17,0,0,2,1,2,19
OPM/opm-core,C++,0.5211267605633803,348,291,39,0,37,34,8,19,20
OPM/opm-core,C++,0.21428571428571427,1628,1303,133,0,21,77,25,66,21
OPM/opm-core,C++,0.05405405405405406,172,1328,29,0,2,35,15,16,22
OPM/opm-core,C++,0.14473684210526316,215,15708,93,0,11,65,14,17,23
OPM/opm-core,C++,0.23529411764705882,483,146,28,0,8,26,13,18,24
OPM/opm-core,C++,0.2,101,1966,33,0,6,24,7,7,25
OPM/opm-parser,C++,0.1702127659574468,2211,731,150,0,16,78,23,88,1
OPM/opm-parser,C++,0.0,1322,2691,106,0,0,25,15,50,2
OPM/opm-parser,C++,0.0,1356,874,41,0,0,46,14,58,3
OPM/opm-parser,C++,0.0,3309,692,96,0,0,26,11,31,4
OPM/opm-parser,C++,0.45454545454545453,2938,1860,163,0,40,48,31,114,5
OPM/opm-parser,C++,0.3,3815,526,69,0,15,35,16,42,6
OPM/opm-parser,C++,0.30158730158730157,4661,1003,197,0,38,88,31,72,7
OPM/opm-parser,C++,0.13157894736842105,5950,3785,245,0,5,33,23,97,8
OPM/opm-parser,C++,0.36065573770491804,2655,758,183,0,22,39,25,77,9
OPM/opm-parser,C++,0.46206896551724136,4006,316,113,0,67,78,24,111,10
OPM/opm-parser,C++,0.42857142857142855,748,153,25,0,6,8,8,16,11
OPM/opm-parser,C++,0.961038961038961,4876,4623,172,0,74,3,6,36,12
OPM/opm-parser,C++,0.019230769230769232,11360,8897,890,0,1,51,30,83,13
OPM/opm-parser,C++,0.2616822429906542,3977,4895,153,0,28,79,24,65,14
OPM/opm-parser,C++,0.35789473684210527,10837,11528,510,0,68,122,40,117,15
OPM/opm-parser,C++,0.49783549783549785,3695,2403,257,0,115,116,42,160,16
OPM/opm-parser,C++,0.5898876404494382,2675,2716,100,1,105,73,27,75,17
OPM/opm-parser,C++,0.3279569892473118,3341,1621,217,0,61,125,36,84,18
OPM/opm-parser,C++,0.4307692307692308,4120,2959,161,0,56,74,16,72,19
OPM/opm-parser,C++,0.4537037037037037,1489,785,100,0,49,59,24,43,20
OPM/opm-parser,C++,0.4,1046,531,74,0,32,48,14,32,21
OPM/opm-parser,C++,0.09055118110236221,6764,7371,345,0,23,231,28,73,22
OPM/opm-parser,C++,0.38311688311688313,3201,3290,183,0,59,95,31,57,23
OPM/opm-parser,C++,0.1702127659574468,5319,4427,427,0,16,78,14,39,24
