ProjectName,Period,EffectiveComments,ReviewThreads,GeneralComments,Additions,Deletions,Commits,IsMerged,Assignees,ChangedFiles
AnalyticalGraphicsInc/cesium,1,1,2,1,55,18,2,True,0,2
AnalyticalGraphicsInc/cesium,1,3,4,1,253,58,3,True,0,5
AnalyticalGraphicsInc/cesium,1,12,13,5,98,6,3,True,0,4
AnalyticalGraphicsInc/cesium,1,3,35,7,772,213,24,True,0,11
AnalyticalGraphicsInc/cesium,1,95,152,26,120096,883,250,True,1,181
AnalyticalGraphicsInc/cesium,1,1,2,1,17,4,2,True,0,1
AnalyticalGraphicsInc/cesium,1,1,1,4,825,1048,7,True,0,78
AnalyticalGraphicsInc/cesium,1,77,127,41,3419,1166,45,True,0,11
AnalyticalGraphicsInc/cesium,1,3,3,14,1031,414,7,True,0,8
AnalyticalGraphicsInc/cesium,1,1,2,1,1114,352,5,True,0,17
AnalyticalGraphicsInc/cesium,1,6,11,4,372,739,15,True,0,13
AnalyticalGraphicsInc/cesium,1,4,10,4,908,118,14,True,0,23
AnalyticalGraphicsInc/cesium,2,11,39,22,1632,1155,20,True,0,16
AnalyticalGraphicsInc/cesium,2,53,125,37,4569,2081,81,True,0,40
AnalyticalGraphicsInc/cesium,2,2,2,7,93,34,13,True,0,4
AnalyticalGraphicsInc/cesium,2,1,7,3,104,20,4,True,0,5
AnalyticalGraphicsInc/cesium,2,6,18,14,912,663,17,True,0,5
AnalyticalGraphicsInc/cesium,2,4,12,2,14136,8234,24,True,1,22
AnalyticalGraphicsInc/cesium,2,1,21,2,522,9,16,True,0,3
AnalyticalGraphicsInc/cesium,2,94,109,33,4934,2018,150,True,0,97
AnalyticalGraphicsInc/cesium,2,10,12,8,124,5,8,True,0,5
AnalyticalGraphicsInc/cesium,2,3,3,3,579,584,4,True,0,44
AnalyticalGraphicsInc/cesium,2,2,10,8,2714,1698,22,True,1,39
AnalyticalGraphicsInc/cesium,2,2,7,24,1116,616,46,True,0,25
AnalyticalGraphicsInc/cesium,3,2,3,3,878,22,10,True,0,14
AnalyticalGraphicsInc/cesium,3,3,3,4,582,176,6,True,0,8
AnalyticalGraphicsInc/cesium,3,9,14,6,74,18,35,True,0,3
AnalyticalGraphicsInc/cesium,3,3,11,5,38,8,12,True,0,7
AnalyticalGraphicsInc/cesium,3,1,1,4,186,21,13,True,0,8
AnalyticalGraphicsInc/cesium,3,2,3,2,4,4,2,True,0,2
AnalyticalGraphicsInc/cesium,3,30,36,16,690,340,7,True,0,18
AnalyticalGraphicsInc/cesium,3,18,35,11,1712,823,29,True,0,31
AnalyticalGraphicsInc/cesium,3,2,10,6,717,819,9,True,0,26
