identifier,sentence,url
ocaml/opam-repository.4232.0.0,:white_check_mark: all lint checks passed 47f9b23dd9b3d17735df2915cd07d659680e2ab8,https://github.com/ocaml/opam-repository/pull/4232#issuecomment-112252767
astropy/astropy.5249.10.1,"out of interest though, would you rather the rtd build fail or have broken gallery examples in the final build?",https://github.com/astropy/astropy/pull/5249#issuecomment-241466206
astropy/astropy.1462.10.7,"regardless, i don't like the idea of requiring a working/active internet connection for the docs to build correctly.",https://github.com/astropy/astropy/pull/1462#issuecomment-25764257
xapi-project/xen-api.499.14.0,M_EMAIL ⇒  M_EMAIL build succeeded.,https://github.com/xapi-project/xen-api/pull/499#issuecomment-4764627
gooddata/gooddata-ruby.1264.5.0,build failed (check pipeline).,https://github.com/gooddata/gooddata-ruby/pull/1264#issuecomment-413532047
mozilla/shumway.1863.8.4,- lint: passed,https://github.com/mozilla/shumway/pull/1863#issuecomment-63408278
jruby/jruby.1600.0.0,travis run that worked:  M_URL,https://github.com/jruby/jruby/pull/1600#issuecomment-39216471
statsmodels/statsmodels.4126.6.1,"looking at the last build's seven jobs, one star per minute (rounded up):",https://github.com/statsmodels/statsmodels/pull/4126#issuecomment-390461834
puppetlabs/puppet.1596.1.219,"  25) mount provider (integration) when initially mounted when there is no initial fstab entry when setting ensure => mounted when setting options => local should leave the system in the mounted state, with data in /etc/fstab",https://github.com/puppetlabs/puppet/pull/1596#issuecomment-16318939
Azure/azure-xplat-cli.3482.0.10,      at request.end (/home/travis/build/azure/azure-xplat-cli/node_modules/request/request.js:1397:14),https://github.com/Azure/azure-xplat-cli/pull/3482#issuecomment-278119543
HoTT/HoTT.841.0.1,"( M_ICODE )  other than that, and modulo travis, lgtm",https://github.com/HoTT/HoTT/pull/841#issuecomment-263633031
angular/angular.js.6065.3.1,"btw, i see the build is not completed due to a missing package error, -but the code was successfully passed-, do i have anything to do with it?",https://github.com/angular/angular.js/pull/6065#issuecomment-34802742
xapi-project/xen-api.562.21.8,    cloning into '/usr/local/builds/build-xen-git.hg/obj/repos/stunnel'...,https://github.com/xapi-project/xen-api/pull/562#issuecomment-5695448
scala/scala-lang.359.8.11,"we don't want both in one repository in the first place, but even if you were to migrate, i would still wager that you are going to increase build times significantly by lumping them into one megasiterepo.",https://github.com/scala/scala-lang/pull/359#issuecomment-158767219
scikit-learn/scikit-learn.8851.0.1,"since the circleci build is about 40 minutes, this is not a big deal.",https://github.com/scikit-learn/scikit-learn/pull/8851#issuecomment-300435841
symfony/symfony.9706.10.9,- it's not a point of travis-ci to check symfony cs,https://github.com/symfony/symfony/pull/9706#issuecomment-29914199
cocos2d/cocos2d-x.16091.1.0,[ci rebuild],https://github.com/cocos2d/cocos2d-x/pull/16091#issuecomment-231908640
dimagi/commcare-hq.17332.0.17,"domain=pact_domain, build_id=build_id, module_id=module_id)",https://github.com/dimagi/commcare-hq/pull/17332#issuecomment-320035416
ipython/ipython.5323.12.1,so casperjs + slimerjs is finally running in travis!,https://github.com/ipython/ipython/pull/5323#issuecomment-37696785
weld/core.318.2.0,triggering build using a merge of 1a54d610286f6c17be478b7d75898a74568ab08e on branch  M_VERSION_NUMBER :,https://github.com/weld/core/pull/318#issuecomment-20198497
Baystation12/Baystation12.19362.6.2,if you don't want to use jmerge for any reason you can always clean the tags manually if travis detects them.,https://github.com/Baystation12/Baystation12/pull/19362#issuecomment-344565485
jruby/jruby.4945.0.1,"... otherwise (if its only ci) we shall adjust travis-ci accordingly, instead.",https://github.com/jruby/jruby/pull/4945#issuecomment-356243026
coq/coq.8360.2.0,"note that it didn't just fail on nix, it also failed on appveyor (windows) and travis (macos).",https://github.com/coq/coq/pull/8360#issuecomment-417653298
buildbot/buildbot.3296.4.0,"that horizontal scrollbar actually annoys me, at the moment i have only three workers so the scrollbar feels just weird (especially since the builder names are not actually falling off the page).",https://github.com/buildbot/buildbot/pull/3296#issuecomment-306540499
JuliaLang/julia.14378.5.1,"the travis 64bit failure looks unrelated, i think.",https://github.com/JuliaLang/julia/pull/14378#issuecomment-164239027
Growstuff/growstuff.1176.10.4,i'm re-running the build.,https://github.com/Growstuff/growstuff/pull/1176#issuecomment-277228108
PCSX2/pcsx2.1530.58.3,do you know the shell and the git version on travis ?,https://github.com/PCSX2/pcsx2/pull/1530#issuecomment-242848742
apache/cloudstack.2114.28.0,M_MENTION a jenkins job has been kicked to build packages.,https://github.com/apache/cloudstack/pull/2114#issuecomment-317168986
DIRACGrid/DIRAC.3662.1.0,"imho ok, just check what travis is complaining about.",https://github.com/DIRACGrid/DIRAC/pull/3662#issuecomment-380828419
yui/yui3.382.4.0,"M_MENTION make sure to rebuild the module, then merge it down to  M_ICODE  >>  M_ICODE  >>  M_ICODE .",https://github.com/yui/yui3/pull/382#issuecomment-11827031
stan-dev/stan.2010.1.3,"if someone lets me know how i can check out this change and make sure the manual builds and the link works, i can merge it.",https://github.com/stan-dev/stan/pull/2010#issuecomment-239615121
riptano/cassandra-dtest.1077.0.0,travis is happy.,https://github.com/riptano/cassandra-dtest/pull/1077#issuecomment-230563039
apache/cloudstack.1517.6.2,travis deployed database and is green confirms upgrade path fix does not break with existing mysql  M_VERSION_NUMBER  or less version.,https://github.com/apache/cloudstack/pull/1517#issuecomment-215024033
ocaml/opam-repository.8851.0.0,:white_check_mark: all lint checks passed c24724358f9e91147a134c5b2109523a30528d2a,https://github.com/ocaml/opam-repository/pull/8851#issuecomment-290343308
scikit-learn/scikit-learn.5372.64.4,"also when ""continuous variable"" has a lot of repeated values is not good, but for that i add a small noise as advised in another paper.",https://github.com/scikit-learn/scikit-learn/pull/5372#issuecomment-160422338
fontforge/fontforge.3168.4.4,"looking more into why there's an apparent speedup, it's because it's calling distcheck only on the separate build.",https://github.com/fontforge/fontforge/pull/3168#issuecomment-334385282
ldc-developers/ldc.680.0.0,"that's not it, it only shifts the problem on travis to a different llvm version (!",https://github.com/ldc-developers/ldc/pull/680#issuecomment-48807234
xapi-project/xen-api.22.1.2,"(and i'll try to do building on my own first, before sending the next pull-request.",https://github.com/xapi-project/xen-api/pull/22#issuecomment-781683
openmicroscopy/openmicroscopy.1148.3.0,updated by build omero-submods-stable#74.,https://github.com/openmicroscopy/openmicroscopy/pull/1148#issuecomment-17856913
scikit-image/scikit-image.1031.3.1,can we have the last travis build restarted ?,https://github.com/scikit-image/scikit-image/pull/1031#issuecomment-46225599
PX4/Firmware.1823.8.1,travis was to slow to checkout the branch before it was deleted.,https://github.com/PX4/Firmware/pull/1823#issuecomment-75833713
matplotlib/matplotlib.1532.7.1,the only test it bails out on now is the building of docs under python3.,https://github.com/matplotlib/matplotlib/pull/1532#issuecomment-10819818
CartoDB/cartodb.4341.3.0,"M_MENTION apart from that, good to go once the build gives us a green?",https://github.com/CartoDB/cartodb/pull/4341#issuecomment-119953025
mozilla/kitsune.2722.0.1,r+ once travis gets around to approving this.,https://github.com/mozilla/kitsune/pull/2722#issuecomment-156257204
cbeust/testng.1199.1.2,"about the pull request, i think you can add an integration test with exception checking (maybe in test/inject package).",https://github.com/cbeust/testng/pull/1199#issuecomment-252828994
