,Id,Slug,Url,HasTravis,HasCircle,NumPrs,NumComments
63,28649730,westernmilling/gman_client,https://api.github.com/repos/westernmilling/gman_client,False,True,26.0,50.0
127,24059140,cloudify-cosmo/cloudify-amqp-influxdb,https://api.github.com/repos/cloudify-cosmo/cloudify-amqp-influxdb,False,True,37.0,8.0
193,25639174,eduNEXT/edunext-platform,https://api.github.com/repos/eduNEXT/edunext-platform,False,True,272.0,280.0
225,64508423,iopipe/iopipe-python,https://api.github.com/repos/iopipe/iopipe-python,False,True,210.0,106.0
386,41393164,PrismarineJS/flying-squid,https://api.github.com/repos/PrismarineJS/flying-squid,False,True,115.0,150.0
414,33459469,johnagan/clean-webpack-plugin,https://api.github.com/repos/johnagan/clean-webpack-plugin,False,True,51.0,187.0
417,60663565,auth0-samples/auth0-vue-samples,https://api.github.com/repos/auth0-samples/auth0-vue-samples,False,True,40.0,13.0
431,40374542,StackStorm/st2-dockerfiles,https://api.github.com/repos/StackStorm/st2-dockerfiles,False,True,44.0,88.0
442,19749646,hashicorp/envconsul,https://api.github.com/repos/hashicorp/envconsul,False,True,86.0,143.0
518,40481040,ahaydon/Qlik-Cli,https://api.github.com/repos/ahaydon/Qlik-Cli,False,True,41.0,12.0
549,50122513,datacamp/datacamp-light,https://api.github.com/repos/datacamp/datacamp-light,False,True,32.0,25.0
580,36824082,RoboCup-SSL/ssl-vision,https://api.github.com/repos/RoboCup-SSL/ssl-vision,False,True,61.0,130.0
637,64409876,PagerDuty/scala-metrics,https://api.github.com/repos/PagerDuty/scala-metrics,False,True,13.0,11.0
653,31408405,CureApp/base-domain,https://api.github.com/repos/CureApp/base-domain,False,True,71.0,8.0
667,59026453,conda-forge/glymur-feedstock,https://api.github.com/repos/conda-forge/glymur-feedstock,False,True,18.0,36.0
713,24723991,conduit/conduit-braintree,https://api.github.com/repos/conduit/conduit-braintree,False,True,56.0,47.0
720,35680535,pinax/pinax-documents,https://api.github.com/repos/pinax/pinax-documents,False,True,16.0,12.0
750,44065048,electron/chromedriver,https://api.github.com/repos/electron/chromedriver,False,True,19.0,12.0
815,8611098,milkboy/WME-ja,https://api.github.com/repos/milkboy/WME-ja,False,True,31.0,36.0
